Quantity,Unit A,Unit B,Scale,Offset
temperature,C,K,1,273.15
temperature,C,F,1.8,32
length,m,km,0.001,0
length,m,cm,100,0
length,m,mm,1000,0
length,ft,in,12,0
length,yd,ft,3,0
length,mile,ft,5280,0
length,ft,m,0.3048,0
length,fa,ft,6,0
pressure,kPa,Pa,1000,0
pressure,hPa,Pa,100,0
pressure,bar,Pa,100000,0
pressure,mbar,bar,0.001,0
pressure,dbar,bar,0.01,0
pressure,mbar,Pa,100,0
pressure,dbar,Pa,1000,0
pressure,mbar,hPa,1,0
pressure,dbar,kPa,1,0
pressure,atm,Pa,101325,0
angles,arc_degrees,degrees,1,0
angles,degree,degrees,1,0
concentration,mol L-1,mmol L-1,1000,0
concentration,mol L-1,umol L-1,1000000,0
fraction,ppt,1,0.001,0
fraction,%,1,0.01,0
fraction,0.001,1,0.001,0
fraction,0.01,1,0.01,0
density,kg m-3,g m-3,1000,0
density,kg m-3,mg m-3,1000000,0
density,kg m-3,ug m-3,1000000000,0
voltage,V,mV,1000,0
time,min,s,60,0
time,h,s,3600,0
time,d,s,86400,0
velocity,m s-1,km h-1,3.6,0
