Element Short Name,Type,Vocabulary,Code
AggregationMethod,Narrower,BUFR v4,B08021
AirPressure,Exact,WMO Codes,FM18-XII: P0 P0 P0 P0
AirPressure,Exact,BUFR v4,B10004
AirPressure,Exact,MEDS PCODE,ATMP
AirPressureAtSeaLevel,Exact,WMO Codes,FM18-XII: P P P P
AirPressureAtSeaLevel,Exact,BUFR v4,B10051
AirPressureAtSeaLevel,Exact,MEDS PCODE,ATMS
AirPressureChange24Hour,Exact,WMO Codes,FM18-XII: a
AirPressureChange24Hour,Exact,BUFR v4,B10062
AirPressureChange3Hour,Exact,WMO Codes,FM18-XII: p p p
AirPressureChange3Hour,Exact,BUFR v4,B10061
AirTemperature,Exact,WMO Codes,FM18-XII: sn T T T
AirTemperature,Exact,WMO Codes,FM63-XI: sn T T T
AirTemperature,Exact,WMO Codes,FM64-X: sn T T T
AirTemperature,Exact,BUFR v4,B12101
AirTemperature,Exact,MEDS PCODE,DRYT
BarometerHeight,Exact,BUFR v4,B07031
BatteryVoltage,Exact,MEDS PCODE,PBV%24
BatteryVoltage,Exact,BUFR v4,B25025
BatteryVoltage,Exact,BUFR v4,B25026
CentralFrequency,Exact,BUFR v4,B22080
CruiseID,Exact,BUFR v4,B01115
CurrentDirection,Exact,WMO Codes,FM18-XII: dn dn
CurrentDirection,Exact,WMO Codes,FM62-VIII: d0 d0
CurrentDirection,Exact,WMO Codes,FM63-XI: Dc Dc
CurrentDirection,Exact,WMO Codes,FM64-X: dn dn
CurrentDirection,Exact,BUFR v4,B22004
CurrentDirection,Exact,BUFR v4,B22005
CurrentDirection,Exact,CF Standard Names,5D4D7YMF
CurrentDirection,Exact,MEDS PCODE,SCDT
CurrentDirection,Exact,MEDS PCODE,HCDT
CurrentSpeed,Exact,WMO Codes,FM18-XII: cn cn cn
CurrentSpeed,Exact,WMO Codes,FM62-VIII: c0 c0
CurrentSpeed,Exact,WMO Codes,FM63-XI: Vc Vc
CurrentSpeed,Exact,WMO Codes,FM64-X: cn cn cn
CurrentSpeed,Exact,BUFR v4,B22031
CurrentSpeed,Exact,BUFR v4,B22032
CurrentSpeed,Exact,MEDS PCODE,SCSP
CurrentSpeed,Exact,MEDS PCODE,HCSP
CurrentSpeed,Exact,CF Standard Names,CFSN0334
Depth,Exact,WMO Codes,FM18-XII: zn zn zn zn
Depth,Exact,WMO Codes,FM63-XI: zn zn
Depth,Exact,WMO Codes,FM64-X: zn zn zn zn
Depth,Exact,BUFR v4,B07062
Depth,Exact,BUFR v4,B07063
DewpointTemperature,Exact,WMO Codes,FM18-XII: sn Td Td Td
DewpointTemperature,Exact,BUFR v4,B12103
DewpointTemperature,Exact,MEDS PCODE,DEWT
DiffuseSolarRadiation,Exact,BUFR v4,B14029
DirectSolarRadiation,Exact,BUFR v4,B14030
DissolvedOxygen,Exact,BUFR v4,B22188
DissolvedOxygen,Exact,MEDS PCODE,OXYG
DissolvedOxygenMolar,Exact,BUFR v4,B22188
DissolvedOxygenMolar,Exact,MEDS PCODE,OXYG
DrogueDepth,Exact,BUFR v4,B07070
DrogueDepth,Exact,MEDS PCODE,DRDP
FloatCycleNumber,Exact,BUFR v4,B22055
FourierA1,Exact,BUFR v4,B42011
FourierA2,Exact,BUFR v4,B42013
FourierB1,Exact,BUFR v4,B42012
FourierB2,Exact,BUFR v4,B42014
FourierK,Exact,BUFR v4,B42015
GlobalSolarRadiation,Exact,BUFR v4,B14028
HorizontalVisibility,Exact,BUFR v4,B20001
HorizontalVisibility,Exact,MEDS PCODE,VISB
IMONumber,Exact,BUFR v4,B01103
IMONumber,Exact,MEDS PCODE,LYD%24
IceThickness,Exact,BUFR v4,B13115
IceThickness,Exact,MEDS PCODE,ICT%24
InstrumentManufacturingDate,Related,BUFR v4,B08041
InstrumentManufacturingDate,Narrower,BUFR v4,B04001
InstrumentManufacturingDate,Narrower,BUFR v4,B04002
InstrumentManufacturingDate,Narrower,BUFR v4,B04003
InstrumentManufacturingDate,Narrower,BUFR v4,B04004
InstrumentManufacturingDate,Narrower,BUFR v4,B04005
InstrumentManufacturingDate,Narrower,BUFR v4,B04006
InstrumentManufacturingDate,Narrower,BUFR v4,B04007
LastKnownPositionTime,Exact,WMO Codes,FM18-XII Buoy: Y Y M M J G G g g / (Second Group)
LastKnownPositionTime,Related,BUFR v4,B08021
LastKnownPositionTime,Narrower,BUFR v4,B04001
LastKnownPositionTime,Narrower,BUFR v4,B04002
