Short Name,English Label,French Label,English Description,French Description,Element Group,Data Type,Preferred Units,Standard Name,Variable Name,IOOS Category,Minimum Value,Maximum Value,Allowed Values,Ignore For Duplicate Check,Allow Multiple Values
AbsoluteSalinity,Absolute Salinity,,,,Parameters,decimal,g kg-1,,,,,,,N,N
AggregationMethod,Aggregation Method,,,,Metadata,text,,,,,,,,N,N
AirPressure,Air Pressure,,,,Parameters,decimal,Pa,,,,,,,N,N
AirPressureAtSeaLevel,Air Pressure At Sea Level,,,,Parameters,decimal,Pa,,,,,,,N,N
AirPressureChange24Hour,Air Pressure Change 24 Hour,,,,Parameters,decimal,Pa,,,,,,,N,N
AirPressureChange3Hour,Air Pressure Change 3 Hour,,,,Parameters,decimal,Pa,,,,,,,N,N
AirTemperature,Air Temperature,,,,Parameters,decimal,K,,,,,,,N,N
AlkalinityMolar,Alkalinity Molar,,,,Parameters,decimal,umol L-1,,,,,,,N,N
AmmoniaMolar,Ammonia Molar,,,,Parameters,decimal,umol L-1,,,,,,,N,N
BUFRDataCategory,BUFR Data Category,,,,Metadata (Record Only),integer,,,,,,,,Y,N
BUFRDescriptors,BUFR descriptors,,A list of BUFR descriptors attached to this message,,Metadata (Record Only),list,,,,,,,,Y,N
BUFRInferredMessageType,BUFR Inferred Message Type,,,,Metadata (Record Only),list,,,,,,,,Y,N
BUFRIsObservation,BUFR Is Observation,,,,Metadata (Record Only),integer,,,,,0,1,,Y,N
BUFRMessageTime,BUFR Message Time,,,,Metadata (Record Only),datetime,,,,,,,,Y,N
BUFROriginCentre,BUFR Origin Centre,,,,Metadata (Record Only),integer,,,,,,,,Y,N
BUFROriginSubcentre,BUFR Origin Subcentre,,,,Metadata (Record Only),integer,,,,,,,,Y,N
BUFRSubsetIndex,BUFR Subset Index,,,,Metadata (Record Only),integer,,,,,,,,Y,N
BarometerHeight,Barometer Height,,,,Metadata,decimal,m,,,,,,,N,N
BatteryVoltage,Battery Voltage,,,,Metadata,decimal,V,,,,,,,N,N
CNODCDuplicateDate,CNODC Duplicate Date,,"If present, the record is a duplicate of another better record and this is the date the CNODC received that record",,Metadata (Record Only),date,,,,,,,,Y,N
CNODCDuplicateID,CNODC Duplicate ID,,"If present, the record is a duplicate of another better record and this is that records ID",,Metadata (Record Only),text,,,,,,,,Y,N
CNODCEmbargoUntil,CNODC Embargo Until Date,,"If present, the record may not be released to the public until the given date has passed.",,Metadata (Record Only),datetime,,,,,,,,N,N
CNODCID,CNODC ID,,Unique identifier of this record in the CNODC database,,Metadata (Record Only),text,,,,Identifier,,,,Y,N
CNODCInstrumentType,Instrument Type,,Type of instrument that collected the information,,Metadata (Record Only),text,,,,,,,,Y,N
CNODCLevel,CNODC Processing Level,,Processing level of the data record,,Metadata (Record Only),text,,,,,,,,Y,N
CNODCMission,Mission Name,,Name of the originating mission,,Metadata (Record Only),text,,,,Identifier,,,,N,N
CNODCOperatorAction,CNODC Record Status (Working),,Working status of the data record,,Metadata (Record Only),text,,,,,,,DISCARD;MARK_DUPLICATE;ARCHIVE;MARK_DUBIOUS;RECOMMEND_DISCARD;RECOMMEND_DUPLICATE;RECOMMEND_ARCHIVAL;RECOMMEND_DUBIOUS,Y,N
CNODCProgram,Program Name,,Name of the program that collected the profile,,Metadata (Record Only),text,,,,Identifier,,,,Y,N
CNODCSource,Source Name,,Identifier for the source of the data,,Metadata (Record Only),text,,,,,,,,Y,N
CNODCStation,Station UUID,,UUID of the originating station,,Metadata (Record Only),text,,,,Identifier,,,,N,N
CNODCStationCandidates,CNODC Station Candidates,,,,Metadata (Record Only),list,,,,,,,,Y,N
CNODCStatus,CNODC Record Status,,Status of the data record,,Metadata (Record Only),text,,,,,,,DISCARDED;DUPLICATE;ARCHIVED;VERIFIED;UNVERIFIED;DUBIOUS,Y,N
CNODCWorkingDuplicateDate,CNODC Duplicate Date,,"If present, the record is a duplicate of another better record and this is the date the CNODC received that record",,Metadata (Record Only),date,,,,,,,,Y,N
CNODCWorkingDuplicateID,CNODC Duplicate ID,,"If present, the record is a duplicate of another better record and this is that records ID",,Metadata (Record Only),text,,,,,,,,Y,N
CarbonateAlkalinityMolar,Carbonate Alkalinity Molar,,,,Parameters,decimal,umol L-1,,,,,,,N,N
CentralFrequency,Central Frequency,,,,Coordinates,decimal,Hz,,,,,,,N,N
ChlorophyllA,Chlorophyll A,,,,Parameters,decimal,mg m-3,,,,,,,N,N
ChlorophyllB,Chlorophyll B,,,,Parameters,decimal,mg m-3,,,,,,,N,N
ChlorophyllC,Chlorophyll C,,,,Parameters,decimal,mg m-3,,,,,,,N,N
Conductivity,Conductivity,,,,Parameters,decimal,S m-1,,conductivity_conductivite,,,,,N,N
CruiseID,Cruise I D,,,,Metadata,text,,,,,,,,N,N
CurrentDirection,Current Direction (To),,Direction to which sea water current is moving,,parameter,decimal,degrees,sea_water_velocity_to_direction,,Currents,0,360,,N,N
CurrentSpeed,Current Speed,,Speed of sea water current,,parameter,decimal,m s-1,sea_water_speed,,Currents,,,,N,N
Density,Density,,,,Parameters,decimal,kg m-3,,,,,,,N,N
Depth,Depth,,Depth in distance units beneath the ocean surface,,Coordinates,decimal,m,depth,depth,Bathymetry,,,,N,N
DeviceID,Device I D,,,,Metadata,text,,,,,,,,N,N
DewpointTemperature,Dewpoint Temperature,,,,Parameters,decimal,K,,,,,,,N,N
DiffuseSolarRadiation,Diffuse Solar Radiation,,,,Parameters,decimal,J m-2,,,,,,,N,N
DirectSolarRadiation,Direct Solar Radiation,,,,Parameters,decimal,J m-2,,,,,,,N,N
DissolvedOxygen,Dissolved Oxygen,,,,Parameters,decimal,umol kg-1,,dissolved_o2__o2_dissous,,,,,N,N
DissolvedOxygenMolar,Dissolved Oxygen Molar,,,,Parameters,decimal,umol m-3,,molar_dissolved_o2__o2_dissous_molaire,,,,,N,N
DrogueDepth,Drogue Depth,,,,Metadata,decimal,m,,,,,,,N,N
FloatCycleNumber,Float Cycle Number,,,,Metadata,integer,,,,,,,,N,N
