Short Name,English Name,English Description,French Name,French Description
Location,Location,Where is the observation,,
Salinity,Salinity,Measurements of dissolved salts,,
Time,Time,When is the observation,,
Currents,Currents,Measurements of ocean currents,,
OceanColor,Ocean Color,Measurements of the colour of the ocean,,
Temperature,Temperature,Measurements of sea water temperature,,
Pressure,Pressure,Measurements of sea water pressure,,
OpticalProperties,Optical Properties,Optical properties of sea water other than colour,,
Bathymetry,Bathymetry,How deep is the water,,
Identifier,Identifier,What made the observation,,
Quality,Quality,How good is the observation,,
Acidity,Acidity,Acidity or basicity of the water,,
Biology,Biology,,,
CO2,Carbon Dioxide,Carbon dioxide content of sea water,,
ColoredDissolvedOrganicMatter,Colored Dissolved Organic Matter,,,
DissolvedNutrients,Dissolved Nutrients,,,
DissolvedO2,Dissolved O2,Oxygen content of sea water,,
HeatFlux,Heat Flux,,,
Hydrology,Hydrology,,,
IceDistribution,Ice Distribution,Distribution and concentration of sea ice,,
Meteorology,Meteorology,Weather observations that aren't of the ocean directly or wind,,
PhytoplanktonSpecies,Phytoplankton Species,Information about phytoplankton,,
SeaLevel,Sea Level,Information about tides,,
Statistics,Statistics,General statistical information,,
SurfaceWaves,Surface Waves,Information about sea water waves,,
TotalSuspendedMatter,Total Suspended Matter,,,
Wind,Wind,Information about wind,,
ZooplanktonSpecies,Zooplankton Species,,,
ZooplanktonAbundance,Zooplankton Abundance,,,
BottomCharacter,Bottom Character,,,
Contaminants,Contaminants,,,
Ecology,Ecology,,,
Fish ,Fish ,,,
FishAbundance,Fish Abundance,,,
FishSpecies,Fish Species,,,
Pathogens,Pathogens,,,
Productivity,Productivity,,,
StreamFlow,Stream Flow,,,
Taxonomy,Taxonomy,,,
Unknown,Unknown,,,
