Short Name,English Label,French Label,English Description,French Description,Element Group,Data Type,Preferred Units,Standard Name,Variable Name,IOOS Category,Minimum Value,Maximum Value,Allowed Values,Ignore For Duplicate Check,Allow Multiple Values,Essential Ocean Variable
CentralFrequency,Central Frequency,Fréquence centrale,Central band frequency of a spectral bin,,Coordinates,decimal,Hz,sensor_band_central_radiation_frequency,central_frequency__frequence_centrale,Identifier,0,,,N,N,
Depth,Depth,Profondeur,Depth in distance units beneath the ocean surface,,Coordinates,decimal,m,depth,depth,Bathymetry,0,,,N,N,
Latitude,Latitude,Latitude,Decimal degrees [-90 to 90] north of the equator,,Coordinates,decimal,degree_north,latitude,latitude,Location,-90,90,,N,N,
Longitude,Longitude,Longitude,Decimal degrees [-180 to 180] east of the prime meridian,,Coordinates,decimal,degree_east,longitude,longitude,Location,-180,180,,N,N,
ObservationNumber,Observation Number,,"Number of the observation, for when no other coordinate is available or useful",,Coordinates,integer,,,,Location,0,,,N,N,
Pressure,Pressure,Pression,Hydrostatic pressure measured in pressure units,,Coordinates,decimal,Pa,sea_water_pressure,pressure__pression,Pressure,0,,,N,N,
Time,Time,Heure,Time in ISO 8601 format (e.g. YYYY-MM-DDTHH:MM:SS) with optional timezone (default UTC),,Coordinates,datetime,,time,time__heure,Time,,,,N,N,
TimeOffset,Time Offset,Décalage horaire,Observation offset from parent record,,Coordinates,decimal,,,time_offset__decalage_horaire,Time,,,,N,N,
WaveSensor,Wave Sensor Type,Type de capteur de vague,Heave (1) or Slope (2) sensor,,Coordinates,integer,,,wave_sensor__capteur_vague,,,,,N,N,
WMODataSystem,WMO Data System,,,,Metadata,text,,,,,,,,N,N,
WMODepthMethod,WMO Depth Method,,,,Metadata,text,,,,,,,,N,N,
WMODigitization,WMO Digitization,,,,Metadata,text,,,,,,,,N,N,
WMODissolvedOxygenSensorType,WMO Dissolved Oxygen Sensor Type,,,,Metadata,text,,,,,,,,N,N,
WMODrogueStatus,WMO Drogue Status,,,,Metadata,text,,,,,,,,N,N,
WMODrogueType,WMO Drogue Type,,,,Metadata,text,,,,,,,,N,N,
WMOPlatformMotionRemovalMethod,WMO Platform Motion Removal Method,,,,Metadata,text,,,,,,,,N,N,
WMOPlatformType,WMO Platform Type,,,,Metadata,text,,,,,,,,N,N,
WMOProfileInstrumentType,WMO Profile Instrument Type,,,,Metadata,text,,,,,,,,N,N,
WMOProfileRecorderType,WMO Profile Recorder Type,,,,Metadata,text,,,,,,,,N,N,
WMOQualityLocation,WMO Quality Location,,,,Metadata,text,,,,Quality,,,,N,N,
WMOQualityLocationClass,WMO Quality Location Class,,,,Metadata,text,,,,Quality,,,,N,N,
WMOQualitySatellite,WMO Quality Satellite,,,,Metadata,text,,,,Quality,,,,N,N,
WMOSalinityDepthMeasurementMethod,WMO Salinity Depth Measurement Method,,,,Metadata,text,,,,,,,,N,N,
WMOSatelliteIdentifier,WMO Satellite Identifier,,,,Metadata,text,,,,Identifier,,,,N,N,
WMOSpectralWaveMethod,WMO Spectral Wave Method,,,,Metadata,text,,,,,,,,N,N,
WMOStationType,WMO Station Type,,,,Metadata,text,,,,,,,,N,N,
WMOTemperatureSalinityMeasurementMethod,WMO Temperature Salinity Measurement Method,,,,Metadata,text,,,,,,,,N,N,
WMOTemperatureSalinityQualifier,WMO Temperature Salinity Qualifier,,,,Metadata,text,,,,,,,,N,N,
WMOWetBulbMeasurementMethod,WMO Wet Bulb Measurement Method,,,,Metadata,text,,,,,,,,N,N,
WMOXBTType,WMO XBT Type,,,,Metadata,text,,,,,,,,N,N,
XBTHeight,XBT Height,,,,Metadata,decimal,m,,,Location,,,,N,N,
AggregationMethod,Aggregation Method,,How the data was assembled,,Metadata (Element),text,,,,,,,averaged;instantaneous,N,N,
AnemometerType,Anemometer Type,,The specific type of the anemometer,,Metadata (Element),text,,,,,,,cup;propeller;wotan;sonic;other;unknown,N,N,
BackscatterWavelength,Backscatter Wavelength,,Wavelength of the backscattering sensor,,Metadata (Element),integer,nm,,,,0,,,N,N,
CalibrationCoefficient,Calibration Coefficient,,The coefficient(s) used in calibrating the sensor (one per variable with different VariableNames),,Metadata (Element),decimal,,,,,,,,N,Y,
CalibrationComment,Calibration Comment,,Comments on the sensor calibration,,Metadata (Element),text,,,,,,,,N,N,
CalibrationDate,Calibration Date,,The date the sensor was calibrated,,Metadata (Element),datetime,,,,,,,,N,N,
CalibrationEquation,Calibration Equation,,The equation used to calibrate the sensor,,Metadata (Element),text,,,,,,,,N,N,
CurrentSensorType,Current Sensor Type,,The specific type of the current sensor,,Metadata (Element),text,,,,,,,acdp;gek;buoy_drift;ship_drift_short;ship_drift_long;acdp_bottom_track;em_sensor;acdp_lowered;other;unknown,N,N,
DerivationCoefficient,Derivation Coefficient,,The coefficient(s) used in a derivation equation (one per coefficient with different VariableNames set),,Metadata (Element),decimal,,,,,,,,N,Y,
DerivationComment,Derivation Comment,,Any comments about the derivation,,Metadata (Element),text,,,,,,,,N,N,
DerivationDate,Derivation Date,,The date the derivation was made,,Metadata (Element),datetime,,,,,,,,N,N,
DerivationEquation,Derivation Equation,,The equation used to derive a derivated value,,Metadata (Element),text,,,,,,,,N,N,
GliderPhaseCodeSource,Glider Phase Code Source,,What code table we're using for the glider phase,,Metadata (Element),text,,,,,,,seaglider;slocum;seaexplorer;openglider;ego,N,N,
Language,Language,,The language the element took place in,,Metadata (Element),text,,,,,,,,N,N,
NavigationSatelliteType,Navigation Satellite Type,,The specific type of satellite navigation used,,Metadata (Element),text,,,,,,,gps;argos;iridium;other;unknown,N,N,
ObservationPeriod,Observation Period,,Time over which a measurement was taken,,Metadata (Element),integer,s,,,Time,0,,,N,N,
ObservationPeriodMaximum,Maximum value for Observation Period,,Minimum time over which a measurement is taken,,Metadata (Element),integer,s,,,Time,0,,,N,N,
ObservationPeriodMininimum,Minimum value for Observation Period,,Maximum time over which a measurement is taken,,Metadata (Element),integer,s,,,Time,0,,,N,N,
Quality,Quality Flag,,GTSPP compatible quality flag,,Metadata (Element),integer,,quality_flag,,Quality,0,9,0;1;2;3;4;5;6;7;8;9,Y,N,
SensorAccuracy,Sensor Accuracy,,Typical accuracy of the sensor,,Metadata (Element),decimal,,,,,,,,N,N,
SensorDepth,Sensor Depth,,The depth (or height if negative) of the sensor,,Metadata (Element),decimal,m,,,Location,,,,N,N,
SensorDepthReference,Sensor Depth Reference,,What Sensor Depth is relative to,,Metadata (Element),text,,,,,,,local_ground;water,N,N,
SensorFrequency,Sensor Frequency,Fréquence du capteur,The frequency the sensor is tuned to,,Metadata (Element),decimal,Hz,,,,0,,,N,N,
SensorLocation,Sensor Location,,The location of the sensor on the platform,,Metadata (Element),text,,,,,,,,N,N,
SensorMake,Sensor Make,,The manufacturer of the sensor,,Metadata (Element),text,,,,,,,,N,N,
SensorManufactureDate,Sensor Date of Manufacture,,The date the sensor was made,,Metadata (Element),date,,,,,,,,N,N,
SensorModel,Sensor Model,,The model of the sensor,,Metadata (Element),text,,,,,,,,N,N,
SensorOrientation,Sensor Orientation,,The orientation of the sensor with regards to the platform,,Metadata (Element),text,,,,,,,forwards;backwards;upwards;downwards,N,N,
SensorResolution,Sensor Resolution,,Smallest value measurable by sensor (in same units as the measurement),,Metadata (Element),decimal,,,,,,,,N,N,
SensorSerial,Sensor Serial Number,,The serial number of the sensor,,Metadata (Element),text,,,,,,,,N,N,
SensorTemperature,Sensor Temperature,,The temperature of the sensor itself,,Metadata (Element),decimal,K,,,,0,,,N,N,
SensorType,Sensor Type,,The type of sensor,,Metadata (Element),text,,,,,,,ctd;doxy;fluorometer;estimate;anemometer;satnav;interpolation;current,N,N,
TemperatureScale,Temperature Scale,,The temperature scale used in the measurement,,Metadata (Element),text,,,,,,,ITS-90;IPTS-68;IPTS-48,N,N,
Unadjusted,Unadjusted Value,Valeur non ajustée,"The 'raw' value recorded before it was adjusted",,Metadata (Element),element,,,,,,,,Y,Y,
Uncertainty,Uncertainty,,"Uncertainty of the measurement, in the same units",,Metadata (Element),decimal,,,,Statistics,0,,,N,N,
UncertaintyType,UncertaintyType,,"How the uncertainty was determined (uniform being from the resolution of the instrument, normal from a known or calculated standard deviation)",,Metadata (Element),text,,,,,,,uniform;normal,N,N,
Units,Units,,Units relevant to a value,,Metadata (Element),text,,,,,,,,N,N,
VariableName,Variable Name,,The name of a variable in an equation,,Metadata (Element),text,,,,,,,,N,N,
WorkingQuality,Quality (Working),,Internally proposed quality flag,,Metadata (Element),integer,,,,Quality,0,99,0;1;2;3;4;5;9;13;14;15;19;20;21,Y,N,
Abstract,Abstract,,A long abstact of the mission,,Metadata (Mission),text,,,,,,,,N,Y,
Area,Area,,The area the mission took place in,,Metadata (Mission),text,,,,,,,,N,N,
CNODCCruiseID,Cruise ID,,The CNODC ID for the cruise,,Metadata (Mission),text,,,,Identifier,,,,N,N,
CNODCDeploymentMissionID,Deployment Mission ID,,The mission that deployed this mission,,Metadata (Mission),text,,,,Identifier,,,,N,N,
CNODCDeploymentPlatformID,Deployment Platform ID,,The platform that deployed this mission,,Metadata (Mission),text,,,,Identifier,,,,N,N,
DeploymentCruiseID,Deployment Cruise ID,,The platform that deployed this mission,,Metadata (Mission),text,,,,Identifier,,,,N,N,
CruiseName,Cruise Name,,The typical name of the cruise,,Metadata (Mission),text,,,,Identifier,,,,N,Y,
EndDate,Mission End Date,,The end date of the mission,,Metadata (Mission),datetime,,,,Time,,,,N,N,
EndLatitude,Mission End Latitude,,The end latitude of the mission,,Metadata (Mission),decimal,degree_north,,,Location,-90,90,,N,N,
EndLongitude,Mission End Longitude,,The end longitude of the mission,,Metadata (Mission),decimal,degree_east,,,Location,-180,180,,N,N,
LeadInstitution,Lead Institution,,The institution that took the lead on the mission,,Metadata (Mission),text,,,,Identifier,,,,N,N,
MissionInformationLink,Mission Information Link,,A link to relavent information about the mission,,Metadata (Mission),text,,,,,,,,N,Y,
Network,Network,,The observing network for the mission,,Metadata (Mission),text,,,,Identifier,,,,N,N,
Notes,Notes,,Any special notes about the mission,,Metadata (Mission),text,,,,,,,,N,Y,
Observatory,Observatory,,The observatory that ran the mission,,Metadata (Mission),text,,,,Identifier,,,,N,N,
OperatingInstitution,Operating Institution,,The institution that operated the mission,,Metadata (Mission),text,,,,Identifier,,,,N,N,
PlatformFinalStatus,Final Status of Platform,,The final status of the platform after the mission,,Metadata (Mission),text,,,,,,,lost;recovered;unknown,N,N,
PlatformMissionNumber,Platform Mission Number,,The number of missions the platform has performed (including this one),,Metadata (Mission),integer,,,,,1,,,N,N,
PrincipalInvestigator,Principal Investigator,,The principal investigator for the mission,,Metadata (Mission),text,,,,Identifier,,,,N,N,
Program,Program,,The program the mission operates under,,Metadata (Mission),text,,,,,,,,N,Y,
Project,Project,,The project that the mission is a part of,,Metadata (Mission),text,,,,,,,,N,Y,
ReferenceStations,Reference Stations,,Station names used to validate data from the mission,,Metadata (Mission),text,,,,,,,,N,Y,
StartDate,Mission Start Date,,The start date of the mission,,Metadata (Mission),datetime,,,,Time,,,,N,N,
