Element Short Name,Type,Vocabulary,Code
AggregationMethod,Narrower,BUFR v4,B08021
AirPressure,Exact,BUFR v4,B10004
AirPressureAtSeaLevel,Exact,BUFR v4,B10051
AirPressureChange24Hour,Exact,BUFR v4,B10062
AirPressureChange3Hour,Exact,BUFR v4,B10061
AirTemperature,Exact,BUFR v4,B12101
BarometerHeight,Exact,BUFR v4,B07031
BatteryVoltage,Exact,BUFR v4,B25025
BatteryVoltage,Exact,BUFR v4,B25026
CentralFrequency,Exact,BUFR v4,B22080
CruiseID,Exact,BUFR v4,B01115
CurrentDirection,Exact,BUFR v4,B22004
CurrentDirection,Exact,BUFR v4,B22005
CurrentSpeed,Exact,BUFR v4,B22031
CurrentSpeed,Exact,BUFR v4,B22032
Depth,Exact,BUFR v4,B07062
Depth,Exact,BUFR v4,B07063
DewpointTemperature,Exact,BUFR v4,B12103
DiffuseSolarRadiation,Exact,BUFR v4,B14029
DirectSolarRadiation,Exact,BUFR v4,B14030
DissolvedOxygen,Exact,BUFR v4,B22188
DissolvedOxygenMolar,Exact,BUFR v4,B22188
DrogueDepth,Exact,BUFR v4,B07070
FloatCycleNumber,Exact,BUFR v4,B22055
FourierA1,Exact,BUFR v4,B42011
FourierA2,Exact,BUFR v4,B42013
FourierB1,Exact,BUFR v4,B42012
FourierB2,Exact,BUFR v4,B42014
FourierK,Exact,BUFR v4,B42015
GlobalSolarRadiation,Exact,BUFR v4,B14028
HorizontalVisibility,Exact,BUFR v4,B20001
IMONumber,Exact,BUFR v4,B01103
IceThickness,Exact,BUFR v4,B13115
InstrumentManufacturingDate,Related,BUFR v4,B08041
InstrumentManufacturingDate,Narrower,BUFR v4,B04001
InstrumentManufacturingDate,Narrower,BUFR v4,B04002
InstrumentManufacturingDate,Narrower,BUFR v4,B04003
InstrumentManufacturingDate,Narrower,BUFR v4,B04004
InstrumentManufacturingDate,Narrower,BUFR v4,B04005
InstrumentManufacturingDate,Narrower,BUFR v4,B04006
InstrumentManufacturingDate,Narrower,BUFR v4,B04007
