Element Short Name,Type,Vocabulary,Code
AirPressure,Exact,MEDS PCODE,ATMP
AirPressureAtSeaLevel,Exact,MEDS PCODE,ATMS
AirTemperature,Exact,MEDS PCODE,DRYT
BatteryVoltage,Exact,MEDS PCODE,PBV$
CurrentDirection,Exact,MEDS PCODE,SCDT
CurrentDirection,Exact,MEDS PCODE,HCDT
CurrentSpeed,Exact,MEDS PCODE,SCSP
CurrentSpeed,Exact,MEDS PCODE,HCSP
DewpointTemperature,Exact,MEDS PCODE,DEWT
DissolvedOxygen,Exact,MEDS PCODE,OXYG
DissolvedOxygenMolar,Exact,MEDS PCODE,OXYG
DrogueDepth,Exact,MEDS PCODE,DRDP
HorizontalVisibility,Exact,MEDS PCODE,VISB
IMONumber,Exact,MEDS PCODE,LYD$
IceThickness,Exact,MEDS PCODE,ICT$
LastKnownPositionTime,Narrower,MEDS PCODE,PDT$
LastKnownPositionTime,Narrower,MEDS PCODE,PTM$
PlatformDirection,Exact,MEDS PCODE,HEAD
PlatformSpeed,Exact,MEDS PCODE,SPDR
PracticalSalinity,Exact,MEDS PCODE,SSPS
PracticalSalinity,Exact,MEDS PCODE,PSAL
ProfileDirection,Exact,MEDS PCODE,PDR$
ProfilerSerialNumber,Exact,MEDS PCODE,SER1
RelativeHumidity,Exact,MEDS PCODE,RELH
SeaDepth,Exact,MEDS PCODE,BATH
SensorDepth,Exact,MEDS PCODE,DEPH
SoundVelocity,Exact,MEDS PCODE,SVEL
StationID,Exact,MEDS PCODE,CCLL
StationName,Exact,MEDS PCODE,PLTN
StationName,Exact,MEDS PCODE,PNM1
StationName,Exact,MEDS PCODE,SHP%23
Temperature,Exact,MEDS PCODE,TEMP
Temperature,Exact,MEDS PCODE,SSTP
WMOAirPressureCharacteristic,Exact,MEDS PCODE,GPT$
WMOCurrentMeasurementDuration,Exact,MEDS PCODE,GGEC
WMOCurrentMeasurementMethod,Exact,MEDS PCODE,GGCM
WMODataBuoyType,Exact,MEDS PCODE,BTP$
WMODigitization,Exact,MEDS PCODE,GGDI
WMODrogueType,Exact,MEDS PCODE,DRT$
WMOID,Exact,MEDS PCODE,WMO$
WMOPlatformMotionRemovalMethod,Exact,MEDS PCODE,GGK6
WMOProfileInstrumentType,Exact,MEDS PCODE,PEQ$
WMOProfileInstrumentType,Exact,MEDS PCODE,RCT$
WMOProfileInstrumentType,Broader,MEDS PCODE,PFR$
WMOProfileRecorderType,Exact,MEDS PCODE,PRT$
WMOProfileRecorderType,Exact,MEDS PCODE,SYS$
WMOProfileRecorderType,Broader,MEDS PCODE,PFR$
WMOQualityLocation,Exact,MEDS PCODE,GGLC
WMOQualityLocation,Broader,MEDS PCODE,GGST
WMOQualityLocationClass,Exact,MEDS PCODE,BQA$
WMOQualityLocationClass,Broader,MEDS PCODE,GGST
WMOQualitySatellite,Broader,MEDS PCODE,GGST
WMOSalinityDepthMeasurementMethod,Exact,MEDS PCODE,GGSL
WMOWindInstrumentType,Exact,MEDS PCODE,GGWI
WMOWindInstrumentType,Exact,MEDS PCODE,ANT$
WetBulbTemperature,Exact,MEDS PCODE,WETT
WindDirection,Exact,MEDS PCODE,WDIR
WindGustMaxDirection,Exact,MEDS PCODE,GDIR
WindGustMaxSpeed,Exact,MEDS PCODE,GSPD
WindSpeed,Exact,MEDS PCODE,WSPD
XBTHeight,Exact,MEDS PCODE,HTL$
