Element Short Name,Type,Vocabulary,Code
AirPressure,Exact,WMO Codes,FM18-XII: P0 P0 P0 P0
AirPressureAtSeaLevel,Exact,WMO Codes,FM18-XII: P P P P
AirPressureChange24Hour,Exact,WMO Codes,FM18-XII: a
AirPressureChange3Hour,Exact,WMO Codes,FM18-XII: p p p
AirTemperature,Exact,WMO Codes,FM18-XII: sn T T T
AirTemperature,Exact,WMO Codes,FM63-XI: sn T T T
AirTemperature,Exact,WMO Codes,FM64-X: sn T T T
CurrentDirection,Exact,WMO Codes,FM18-XII: dn dn
CurrentDirection,Exact,WMO Codes,FM62-VIII: d0 d0
CurrentDirection,Exact,WMO Codes,FM63-XI: Dc Dc
CurrentDirection,Exact,WMO Codes,FM64-X: dn dn
CurrentSpeed,Exact,WMO Codes,FM18-XII: cn cn cn
CurrentSpeed,Exact,WMO Codes,FM62-VIII: c0 c0
CurrentSpeed,Exact,WMO Codes,FM63-XI: Vc Vc
CurrentSpeed,Exact,WMO Codes,FM64-X: cn cn cn
Depth,Exact,WMO Codes,FM18-XII: zn zn zn zn
Depth,Exact,WMO Codes,FM63-XI: zn zn
Depth,Exact,WMO Codes,FM64-X: zn zn zn zn
DewpointTemperature,Exact,WMO Codes,FM18-XII: sn Td Td Td
LastKnownPositionTime,Exact,WMO Codes,FM18-XII Buoy: Y Y M M J G G g g / (Second Group)
Latitude,Exact,WMO Codes,FM18-XII: Qc La La La La La
Latitude,Exact,WMO Codes,FM62-VIII: Qc La La La La
Latitude,Exact,WMO Codes,FM63-XI: Qc La La La La
Latitude,Exact,WMO Codes,FM64-X: Qc La La La La La
Longitude,Exact,WMO Codes,FM18-XII: Qc + Lo Lo Lo Lo Lo Lo
Longitude,Exact,WMO Codes,FM62-VIII: Qc + Lo Lo Lo Lo Lo
Longitude,Exact,WMO Codes,FM63-XI: Qc + Lo Lo Lo Lo Lo
Longitude,Exact,WMO Codes,FM64-X: Qc + Lo Lo Lo Lo Lo Lo
ObservationPeriod,Exact,WMO Codes,FM62-VIII: mT
ObservationPeriod,Exact,WMO Codes,FM62-VIII: mS
ObservationPeriod,Exact,WMO Codes,FM62-VIII: mc
